"abandon kindness"
"abandoned car"
"abandoning forms"
"abandoning honour"
"abandoning wrath"
"abandoning yudhishthira"
"abandonment cannot"
"abhimanyu alas"
"abhimanyu also"
"abhimanyu continued"
"abhimanyu dhananjaya"
"abhimanyu duryodhana"
"abhimanyu endued"
"abhimanyu exceedingly"
"abhimanyu hath"
"abhimanyu however"
"abhimanyu indeed"
"abhimanyu king"
"abhimanyu resplendent"
"abhimanyu singly"
"abhimanyu stood"
"abhimanyu today"
"abhimanyu true"
"abhimanyu without"
"abhimanyu yajnasenis"
"abhimanyus arms"
"abhimanyus arrows"
"abhimanyus bow"
"abhimanyus charioteer"
"abhimanyus face"
"abhimanyus foe"
"abhimanyus sires"
"abhimanyus slaughter"
"abhimanyus son"
"abhimanyus sword"
"abhimanyuuttara sudakshina"
"abhishahas clad"
"abikshit chapala"
"ability accomplishes"
"ability origin"
"able rise"
"ablutions arrived"
"ablutions fires"
"ablutions meanwhile"
"ablutions morning"
"ablutions observant"
"abode afflicted"
"abode alas"
"abode ascertaining"
"abode attains"
"abode beholding"
"abode bhishma"
"abode chitrasenas"
"abode come"
"abode despairing"
"abode dreadful"
"abode duryodhana"
"abode elsewhere"
"abode ever"
"abode knowing"
"abode known"
"abode kunti"
"abode mada"
"abode meanwhile"
"abode meeting"
"abode men"
"abode others"
"abode purujit"
"abode salutations"
"abode savitri"
"abode saying"
"abode similarly"
"abode soon"
"abode ten"
"abode therefore"
"abode thereupon"
"abode thus"
"abode today"
"abode unto"
"abode vidura"
"abode worshipping"
"abodes blazing"
"abodes saying"
"absence grief"
"absence today"
"absolute existence"
"absolute goodness"
"absolute lord"
"absolute peace"
"absolute ruin"
"absolution maintain"
"absorption yogameditation"
"abstention ye"
"abstinence ability"
"abstinence however"
"abstinence indeed"
"abstinence poison"
"abundance always"
"abundance know"
"abundance therewith"
"abuse however"
"accents distinct"
"accept hospitality"
"accept ornaments"
"accept vrihaspati"
"accept ye"
"acceptance consumes"
"acceptance however"
"accepting duryodhanas"
"accepts food"
"accepts gifts"
"accepts gold"
"accepts paddy"
"accidents every"
"accomplishing acts"
"accomplishment hurried"
"accomplishment sankara"
"accomplishment therefore"
"accomplishment truthful"
"accomplishments addresses"
"accomplishments amongst"
"accomplishments behaviour"
"accomplishments brave"
"accomplishments kasyapa"
"accomplishments partha"
"accord baladeva"
"accord besides"
"accord kunti"
"accord loud"
"accord receive"
"accord said"
"accord thus"
"accord water"
"accordingly domesticity"
"accordingly morality"
"accordingly shalt"
"account alas"
"account bestow"
"account bhishma"
"account born"
"account cease"
"account cherishest"
"account come"
"account dhrishtadyumna"
"account endued"
"account quarrel"
"account saying"
"accusation fraught"
"achala kanakaksha"
"achievements conversant"
"achievements dhrishtadyumna"
"achievements humiliate"
"achievements period"
"achievements prosperity"
"achievements ritwiks"
"achieveth fame"
"achyuta become"
"achyuta heavy"
"achyuta krishna"
"achyuta therefore"
"acquire sovereignty"
"acquired hath"
"acquired viz"
"acquirements accord"
"acquirer feels"
"acquireth eminence"
"acquireth immunity"
"acquireth merit"
"acquireth mighty"
"acquiring wisdom"
"acquisition employed"
"acquisition tell"
"acquisition wholly"
"acquisitions spent"
"acrimonious crude"
"act accordingly"
"act acts"
"act although"
"act arrived"
"act becomes"
"act deserveth"
"act destructive"
"act doubteth"
"act downwards"
"act give"
"act gracefully"
"act hast"
"act hath"
"act hearing"
"act however"
"act ie"
"act janamejaya"
"act king"
"act meets"
"act multiplieth"
"act otherwise"
"act persons"
"act proceeds"
"act repair"
"act righteously"
"act rightly"
"act shall"
"act tell"
"act therefore"
"act thus"
"act today"
"act towards"
"act undergo"
"act unrighteously"
"act wealth"
"act whatever"
"act ye"
"act yet"
"acted however"
"acting soul"
"action becometh"
"action cometh"
"action fools"
"action hear"
"action however"
"action ie"
"action liveth"
"action others"
"action riches"
"action sacrifices"
"action senselessness"
"action similarly"
"action sound"
"action therefore"
"action today"
"action understand"
"actions knowledge"
"actions passing"
"actions therefore"
"actions think"
"actions towards"
"actions travels"
"activity dronas"
"activity hath"
"activity longing"
"activity performance"
"activity straightforwardness"
"actor ones"
"actor thereof"
"actors gamblers"
"acts absolute"
"acts another"
"acts bear"
"acts becomes"
"acts behold"
"acts bound"
"acts brahmanas"
"acts brahmans"
"acts call"
"acts cause"
"acts ceremonials"
"acts consists"
"acts creatures"
"acts disloyalty"
"acts dost"
"acts earth"
"acts everything"
"acts generally"
"acts good"
"acts grow"
"acts hath"
"acts hence"
"acts however"
"acts hundreds"
"acts indeed"
"acts jiva"
"acts know"
"acts learning"
"acts let"
"acts listen"
"acts man"
"acts men"
"acts nobody"
"acts obtaining"
"acts peace"
"acts pursue"
"acts returns"
"acts right"
"acts sacrifices"
"acts sanatkumara"
"acts seizes"
"acts sink"
"acts suffering"
"acts therefore"
"acts topics"
"acts towards"
"acts undertaken"
"acts upon"
"acts valadeva"
"acts vanity"
"acts verily"
"acts virtue"
"acts viz"
"acts women"
"acts words"
"acts yama"
"actual ocean"
"adamantine mace"
"adamvara tvashtri"
"adbhuta fire"
"address brahmanas"
"address duryodhana"
"address sudras"
"address unto"
"addressed arjuna"
"addressed astika"
"addressed bhima"
"addressed brahman"
"addressed dasarathas"
"addressed death"
"addressed dhananjaya"
"addressed dharma"
"addressed dhrishtadyumna"
"addressed dhritarashtra"
"addressed divodasa"
"addressed draupadi"
"addressed drona"
"addressed dronas"
"addressed duryodhana"
"addressed gadhi"
"addressed garuda"
"addressed hanuman"
"addressed jamadagnis"
"addressed janardana"
"addressed karna"
"addressed keshava"
"addressed kesini"
"addressed king"
"addressed krishna"
"addressed kundadhara"
"addressed kunti"
"addressed kuntis"
"addressed markandeya"
"addressed matali"
"addressed nahusha"
"addressed nara"
"addressed nila"
"addressed pandya"
"addressed partha"
"addressed phalguna"
"addressed prithas"
"addressed rama"
"addressed sakuni"
"addressed savitri"
"addressed saying"
"addressed shakra"
"addressed shalya"
"addressed utanka"
"addressed vaisravana"
"addressed varuna"
"addressed vasishtha"
"addressed vasudeva"
"addressed vasuki"
"addressed vidura"
"addressed vijaya"
"addressed vishnu"
"addressed vrihannala"
"addressed vrihaspati"
"addressed yayati"
"addressing abhimanyu"
"addressing agni"
"addressing arjuna"
"addressing bhimas"
"addressing brahma"
"addressing hrishikesha"
"addressing karna"
"addressing keshava"
"addressing king"
"addressing krishna"
"addressing sinis"
"addressing sushena"
"addressing utanka"
"addressing vasu"
"addressing yudhishthira"
"adequate cause"
"adequate measures"
"adharma hath"
"adharma sin"
"adharyu chief"
"adherents else"
"adhidaivata buddhi"
"adhidaivata consciousness"
"adhidaivata mind"
"adhiraja viraja"
"adhiratha indeed"
"adhiratha singlehanded"
"adhiratha slain"
"adhirathas son"
"adhitrathas son"
"adhvaryus vyasa"
"adhwaryu said"
"adhyaryu also"
"adhyaryu priest"
"adhyatma adhibhuta"
"adhyatma behold"
"adhyatma conviction"
"adhyatma diverse"
"adhyatma earth"
"adhyatma odour"
"adhyatma sound"
"adhyatma taste"
"adhyatma touch"
"adhyatma vision"
"adideva aditisuta"
"aditi celestials"
"aditi diti"
"aditi endued"
"aditi richikas"
"aditi vishnu"
"aditis joy"
"aditis son"
"aditis sons"
"aditis womb"
"aditisuta dwadasatman"
"aditithat deity"
"aditya mrityu"
"aditya rasmimat"
"aditya vibhavasu"
"adityaketu vahvashin"
"adityaketu vahvasin"
"adityas asita"
"adityas prajapati"
"adityas vasus"
"adityas wait"
"adivansavatara samva"
"adjured kausika"
"administereth justice"
"administration affairs"
"adopt measures"
"adopt towards"
"adopt tranquillity"
"adopted son"
"adoration canst"
"adorations hence"
"adorations narayana"
"adorations vishnu"
"adore brahma"
"adore kesava"
"adore mahadeva"
"adore narayana"
"adorned besides"
"adrisyanti adrisyanti"
"adrisyanti beholding"
"adrisyanti vasishtha"
"adulatory hymns"
"adultery sees"
"advance ranks"
"advance towards"
"advanced dhrishtadyumna"
"advanced kripa"
"advancement indeed"
"advancing drona"
"advancing force"
"advancing forward"
"advancing radhas"
"advancing twenty"
"advantage thereby"
"advantages maitreya"
"adversaries effulgent"
"adversary rushing"
"adversarys bow"
"adversarys car"
"adversarys charioteer"
"adversarys driver"
"adversarys elephant"
"adversarys lapse"
"adversity kali"
"advice bitter"
"advice conducive"
"advice excellent"
"advice however"
"advice indeed"
"advice thus"
"advice vidura"
"advice wholesome"
"adviser dhaumya"
"adviser karna"
"adviser sahadeva"
"advisers ascertain"
"affair doth"
"affair endued"
"affair hath"
"affair well"
"affection become"
"affection dharma"
"affection everywhere"
"affection hast"
"affection hath"
"affection kunti"
"affection lust"
"affection prevent"
"affection regard"
"affection therefore"
"affection towards"
"affection worthless"
"affectionate consideration"
"affectionate cow"
"affectionate mother"
"affectionate servants"
"affectionate terms"
"affectionate towards"
"affectionate treatment"
"affectionate union"
"affectionate words"
"afflicting arjuna"
"affliction arjuna"
"affliction ascend"
"affliction beholding"
"affliction continually"
"affliction equally"
"affliction excited"
"affliction hath"
"affliction still"
"afflictions therefore"
"afflictor surya"
"affluence etc"
"affluence fall"
"affluence foremost"
"affluence prosperity"
"affluence sovereignty"
"affluence wealth"
"afford room"
"afternoon jishnu"
"afternoon tell"
"afternoon thus"
"afterwards arjuna"
"afterwards marutvan"
"afterwards thus"
"agallochum issues"
"agamas art"
"agastya also"
"agastya approach"
"agastya born"
"agastya converse"
"agastya drinking"
"agastya hath"
"agastya hence"
"agastya however"
"agastya indeed"
"agastya narada"
"agastya replied"
"agastya said"
"agastya saidwretch"
"agastya viz"
"agastyas malediction"
"agastyas name"
"agastyas penances"
"agastyas permission"
"agastyas turn"
"age able"
"age animals"
"age attaineth"
"age begetting"
"age brahman"
"age cannot"
"age dark"
"age death"
"age everything"
"age hast"
"age indeed"
"age influenced"
"age manu"
"age men"
"age narayana"
"age nothing"
"age prajapati"
"age puru"
"age repair"
"age rises"
"age sacrifices"
"age sin"
"age sindhudwipa"
"age sovereignty"
"age therefore"
"age today"
"age used"
"age verily"
"age viz"
"age wending"
"age ye"
"agency bind"
"agency superiority"
"agent cannot"
"agent hears"
"agent tell"
"agent thereof"
"agent vidura"
"aggrandisement alas"
"aggregate approaching"
"aggregate happiness"
"aggregate ie"
"aggregate viz"
"aggression towards"
"aggrieved sukanya"
"aghamarshana sankriti"
"aghore nath"
"agility beholding"
"agitated beholding"
"agitated deprived"
"agitated nakulas"
"agitation indra"
"agitation naishadha"
"agneya weapon"
"agneya weapons"
"agni acquires"
"agni aditya"
"agni alone"
"agni also"
"agni alter"
"agni arises"
"agni arjuna"
"agni art"
"agni bathing"
"agni conversant"
"agni deign"
"agni departed"
"agni desire"
"agni didst"
"agni dwell"
"agni everyday"
"agni fire"
"agni fires"
"agni formerly"
"agni freed"
"agni give"
"agni glad"
"agni god"
"agni hath"
"agni indeed"
"agni indra"
"agni infants"
"agni jaya"
"agni listen"
"agni mangled"
"agni millions"
"agni naigameya"
"agni pavana"
"agni prajapati"
"agni pursuing"
"agni replied"
"agni respectively"
"agni said"
"agni satiated"
"agni savitri"
"agni saying"
"agni shines"
"agni singlehanded"
"agni skanda"
"agni soma"
"agni sped"
"agni sprang"
"agni sthanu"
"agni therefore"
"agni varuna"
"agni vishnu"
"agni wind"
"agni worthy"
"agnihotra ceaselessly"
"agnihotra ceremony"
"agnihotra morning"
"agnihotra rite"
"agnihotra rites"
"agnihotra room"
"agnihotra sacrifice"
"agnihotra sacrifices"
"agnihotras go"
"agnihotras sacrificial"
"agniman fire"
"agnirasa created"
"agnis body"
"agnis daughter"
"agnis mouth"
"agnis seed"
"agnis son"
"agnishtoma going"
"agnishtoma sacrifice"
"agnishtuta sacrifice"
"agnishutta indeed"
"agniswattas fenapa"
"agnivesa sprung"
"agnyadhana sacrifice"
"agony making"
"agrayana fire"
"agrayayin kavachin"
"agreeable disagreeable"
"agreeable excellent"
"agreeable wrath"
"agreeableness arts"
"agreement overwhelmed"
"agriculture c"
"agriculture cattlerearing"
"agriculture hath"
"agriculture tending"
"agriculture trade"
"agriculturists keepers"
"agsuman chekitana"
"aha anila"
"ahalya desirous"
"ahalya indra"
"ahankara consciousness"
"ahankara etc"
"ahasta dharma"
"ahavaniya fire"
"ahi bradhna"
"ahicchatra thus"
"ahivradhna pinakin"
"ahuka hath"
"ahuka ugrasena"
"ahuka viprithu"
"ahukas followers"
"ahukas sons"
"aid indeed"
"aided however"
"aila dynasty"
"aila karandhama"
"aila maya"
"aila nala"
"ailas son"
"ailavila kuvera"
"ailment uncured"
"aim incapable"
"aim said"
"aim shalya"
"aindhna tejasampati"
"aindra agneya"
"aindra pasupata"
"aindra weapon"
"air alone"
"air burst"
"air earth"
"air garuda"
"air heat"
"air oh"
"air passing"
"air similarly"
"air space"
"air thus"
"air water"
"airavana krishna"
"airavata indras"
"airavata splendid"
"airavata takshaka"
"airavata vamana"
"airavatas brother"
"airavatas race"
"airs prana"
"airs thus"
"aishikaparva rice"
"aista devala"
"aja ekapada"
"aja kala"
"aja krishnanetra"
"aja sprung"
"aja sukra"
"ajagara vow"
"ajaikapada ahivradhna"
"ajaikapat ahi"
"ajaikapat ahivradhna"
"ajamida line"
"ajamida race"
"ajamida yudhishthira"
"ajamidas race"
"ajamidha race"
"ajamidha sumidha"
"ajamidhas race"
"ajaneyas saindhavas"
"ajatasanu yudhishthira"
"ajatasatru became"
"ajatasatru dhananjaya"
"ajatasatru dhritarashtra"
"ajatasatru one"
"ajatasatru return"
"ajatasatru shineth"
"ajatasatrus message"
"ajeya parasu"
"ajodara gajasiras"
"akarkara kundodara"
"akasa ether"
"akhandala indra"
"akhyana puranas"
"akrura kritavarman"
"akrura samva"
"akrura satyaki"
"akrurakarma sahasrasira"
"akshamala chyavana"
"akshara becomes"
"akshara destructible"
"akshara kshara"
"akshasantarjana kunadika"
"akshata consists"
"akshauhini desirous"
"akshina sakunta"
"akshisantarjana santana"
"alacrity whatever"
"alambusa thither"
"alambusha however"
"alambusha marichi"
"alamvusha also"
"alamvusha fruit"
"alamvusha misrakesi"
"alamvusha mortal"
"alamvusha slain"
"alamvusha strung"
"alamvusha viswachi"
"alarka aila"
"alarka cross"
"alarm commanded"
"alarm go"
"alas alas"
"alas answer"
"alas beasts"
"alas behold"
"alas beholding"
"alas crowds"
"alas cruel"
"alas dark"
"alas destiny"
"alas doth"
"alas duryodhana"
"alas fie"
"alas fierce"
"alas grief"
"alas hearing"
"alas indeed"
"alas karna"
"alas kichaka"
"alas king"
"alas oh"
"alas reft"
"alas satyaki"
"alas shorn"
"alas somadatta"
"alas struck"
"alas subhadras"
"alas time"
"alas woe"
"alas ye"
"alatakshi viryavati"
"alayudha slain"
"alayudhas car"
"alcohol drinks"
"alfred croft"
"alive let"
"alliance cannot"
"allied monarchs"
"allies capable"
"allies defeat"
"allies men"
"allies ministers"
"allies sikhandin"
"allies territory"
"alligator karna"
"alligators bows"
"allotted periods"
"allpervading enquiring"
"allpervading eternal"
"allpervading soul"
"ally courses"
"ally vishnu"
"ally yuyudhana"
"almighty god"
"almsgiving tell"
"alolupa abhaya"
"alolupa ananta"
"alone alas"
"alone baffling"
"alone bathing"
"alone beholding"
"alone bow"
"alone cast"
"alone damayanti"
"alone heaping"
"alone hero"
"alone hurl"
"alone indeed"
"alone indra"
"alone kesava"
"alone know"
"alone occurreth"
"alone pardon"
"alone partha"
"alone resisted"
"alone retain"
"alone slain"
"alone vrihannala"
"alone whether"
"aloud drums"
"aloud saying"
"alphabet viz"
"already mentioned"
"already slain"
"also amongst"
"also attain"
"also beautiful"
"also compassion"
"also conversant"
"also deep"
"also deprived"
"also drona"
"also freed"
"also go"
"also indeed"
"also indradyumna"
"also kasyapa"
"also king"
"also know"
"also meteors"
"also obedient"
"also pandus"
"also repeatedly"
"also roaring"
"also sakra"
